Time,KBC Mobile,ING Banking,ING Smart Banking,KBC Touch
2021-09-12,4,13,0,82
2021-09-19,4,15,0,87
2021-09-26,4,15,0,90
2021-10-03,4,17,0,87
2021-10-10,5,16,0,86
2021-10-17,5,15,0,85
2021-10-24,6,16,1,87
2021-10-31,4,15,0,85
2021-11-07,4,19,0,77
2021-11-14,4,14,0,81
2021-11-21,3,15,0,84
2021-11-28,4,15,0,89
2021-12-05,5,14,0,87
2021-12-12,4,16,0,94
2021-12-19,4,16,0,96
2021-12-26,4,15,0,95
2022-01-02,4,15,0,100
2022-01-09,5,14,0,98
2022-01-16,3,15,0,85
2022-01-23,3,14,0,77
2022-01-30,4,17,0,95
2022-02-06,4,14,0,81
2022-02-13,4,14,0,70
2022-02-20,4,12,0,73
2022-02-27,3,14,0,80
2022-03-06,3,14,0,77
2022-03-13,3,13,0,71
2022-03-20,4,14,0,83
2022-03-27,3,12,0,88
2022-04-03,4,12,0,84
2022-04-10,4,10,0,75
2022-04-17,4,10,0,75
2022-04-24,4,11,0,73
2022-05-01,4,13,0,79
2022-05-08,3,12,0,76
2022-05-15,3,12,0,75
2022-05-22,3,12,0,70
2022-05-29,4,11,0,77
2022-06-05,4,12,0,81
2022-06-12,3,10,0,76
2022-06-19,3,9,0,81
2022-06-26,5,12,0,89
2022-07-03,3,13,0,95
2022-07-10,3,11,0,90
2022-07-17,3,12,0,73
2022-07-24,3,12,0,72
2022-07-31,3,12,0,84
2022-08-07,2,11,0,74
2022-08-14,3,11,0,69
2022-08-21,4,10,0,79
2022-08-28,4,11,0,81
2022-09-04,4,11,0,77
2022-09-11,2,10,0,74
2022-09-18,3,11,0,79
2022-09-25,4,12,0,78
2022-10-02,4,11,0,85
2022-10-09,4,11,0,81
2022-10-16,3,9,0,75
2022-10-23,4,9,0,73
2022-10-30,3,11,0,73
2022-11-06,3,10,0,70
2022-11-13,3,11,0,80
2022-11-20,3,10,0,70
2022-11-27,3,10,0,78
2022-12-04,4,11,0,76
2022-12-11,4,11,0,75
2022-12-18,3,11,0,83
2022-12-25,4,10,0,75
2023-01-01,3,10,0,84
2023-01-08,3,10,0,81
2023-01-15,4,9,0,79
2023-01-22,4,9,0,78
2023-01-29,3,10,0,77
2023-02-05,3,11,0,70
2023-02-12,3,9,0,68
