Time,carte de crédit ING,ING kredietkaart,ING Card,BNP visa
2021-09-12,0,0,72,81
2021-09-19,0,0,80,68
2021-09-26,0,0,86,64
2021-10-03,37,0,70,66
2021-10-10,0,0,86,75
2021-10-17,0,0,79,58
2021-10-24,0,0,94,66
2021-10-31,0,0,79,84
2021-11-07,0,0,76,69
2021-11-14,0,0,73,58
2021-11-21,0,0,83,79
2021-11-28,0,0,75,56
2021-12-05,0,0,92,42
2021-12-12,0,0,84,61
2021-12-19,0,0,63,48
2021-12-26,0,0,48,0
2022-01-02,0,0,59,58
2022-01-09,0,0,89,49
2022-01-16,0,0,75,41
2022-01-23,0,0,57,53
2022-01-30,0,0,87,69
2022-02-06,0,0,85,0
2022-02-13,0,0,67,45
2022-02-20,0,0,55,54
2022-02-27,0,0,85,46
2022-03-06,0,0,77,71
2022-03-13,0,0,67,49
2022-03-20,0,0,69,44
2022-03-27,0,0,67,43
2022-04-03,0,0,81,63
2022-04-10,0,0,64,41
2022-04-17,0,0,58,38
2022-04-24,0,0,64,54
2022-05-01,0,0,72,53
2022-05-08,0,0,84,53
2022-05-15,0,0,72,32
2022-05-22,0,0,98,34
2022-05-29,0,0,67,47
2022-06-05,0,0,54,53
2022-06-12,0,0,76,32
2022-06-19,0,31,69,56
2022-06-26,28,0,67,80
2022-07-03,0,0,90,77
2022-07-10,0,0,100,45
2022-07-17,0,0,64,36
2022-07-24,0,0,58,48
2022-07-31,0,0,65,42
2022-08-07,0,0,94,40
2022-08-14,0,0,66,64
2022-08-21,0,0,63,47
2022-08-28,0,0,86,34
2022-09-04,0,0,72,35
2022-09-11,0,28,68,58
2022-09-18,0,0,43,0
2022-09-25,0,0,59,44
2022-10-02,0,0,75,28
2022-10-09,0,0,75,46
2022-10-16,0,0,79,0
2022-10-23,0,0,72,0
2022-10-30,0,0,73,32
2022-11-06,0,0,61,36
2022-11-13,0,0,58,0
2022-11-20,0,0,59,35
2022-11-27,0,0,66,25
2022-12-04,0,0,55,33
2022-12-11,0,0,55,33
2022-12-18,0,0,84,0
2022-12-25,0,0,55,28
2023-01-01,0,0,69,40
2023-01-08,0,0,71,41
2023-01-15,0,0,52,0
2023-01-22,0,0,68,0
2023-01-29,0,0,82,38
2023-02-05,0,0,80,34
2023-02-12,0,0,50,41
2023-02-19,0,0,67,36
2023-02-26,0,0,68,37
2023-03-05,0,28,61,34
2023-03-12,0,0,46,24
2023-03-19,0,24,65,35
2023-03-26,0,0,53,0
2023-04-02,0,0,61,36
2023-04-09,0,0,76,30
2023-04-16,0,0,98,0
2023-04-23,0,0,58,85
2023-04-30,0,0,75,39
2023-05-07,0,0,83,35
2023-05-14,0,0,63,31
2023-05-21,0,0,69,40
2023-05-28,0,0,46,0
2023-06-04,0,0,74,32
2023-06-11,0,0,54,39
2023-06-18,0,0,72,44
2023-06-25,0,0,70,40
2023-07-02,0,0,63,46
2023-07-09,0,0,84,40
2023-07-16,0,0,96,0
2023-07-23,0,0,75,41
2023-07-30,0,0,58,45
2023-08-06,0,0,93,0
2023-08-13,0,0,51,44
2023-08-20,0,0,69,36
2023-08-27,0,0,80,29
2023-09-03,0,29,42,34
2023-09-10,0,0,66,43
2023-09-17,0,0,39,26
2023-09-24,0,0,57,42
2023-10-01,0,0,65,42
2023-10-08,0,0,60,33
2023-10-15,0,0,55,44
2023-10-22,0,0,66,27
2023-10-29,0,0,89,46
2023-11-05,0,0,67,34
2023-11-12,0,0,50,30
2023-11-19,0,0,59,0
2023-11-26,0,0,65,28
2023-12-03,0,0,49,25
2023-12-10,0,0,72,37
2023-12-17,0,0,50,36
2023-12-24,31,0,71,30
2023-12-31,0,0,65,40
2024-01-07,0,0,74,29
2024-01-14,0,0,81,32
2024-01-21,0,0,48,54
2024-01-28,0,0,59,64
2024-02-04,0,0,43,66
2024-02-11,0,0,54,39
2024-02-18,0,0,77,52
2024-02-25,0,0,69,40
2024-03-03,0,0,68,50
2024-03-10,0,0,50,64
2024-03-17,0,0,70,40
2024-03-24,0,0,92,0
2024-03-31,0,0,54,46
2024-04-07,0,0,63,48
2024-04-14,0,0,38,0
