Time,ING,Crelan,AXA Bank,AXA Banque
2021-09-12,73,20,3,2
2021-09-19,76,19,2,1
2021-09-26,88,21,3,1
2021-10-03,85,19,2,2
2021-10-10,81,20,2,2
2021-10-17,73,19,2,1
2021-10-24,81,20,2,1
2021-10-31,75,19,3,1
2021-11-07,71,18,2,1
2021-11-14,75,19,3,2
2021-11-21,70,22,2,2
2021-11-28,77,21,2,1
2021-12-05,75,20,2,1
2021-12-12,75,23,3,2
2021-12-19,76,20,2,1
2021-12-26,73,21,3,1
2022-01-02,81,25,3,2
2022-01-09,72,22,3,1
2022-01-16,67,18,2,2
2022-01-23,71,20,2,1
2022-01-30,81,21,2,1
2022-02-06,80,21,2,1
2022-02-13,71,18,2,1
2022-02-20,74,18,2,2
2022-02-27,87,20,2,1
2022-03-06,80,18,3,1
2022-03-13,75,18,3,2
2022-03-20,70,18,2,1
2022-03-27,76,20,2,1
2022-04-03,75,20,2,1
2022-04-10,63,18,2,1
2022-04-17,64,18,2,1
2022-04-24,75,19,3,1
2022-05-01,84,20,2,1
2022-05-08,75,19,3,1
2022-05-15,64,18,2,2
2022-05-22,59,17,2,1
2022-05-29,77,20,3,1
2022-06-05,66,17,2,1
2022-06-12,69,18,2,1
2022-06-19,72,20,3,1
2022-06-26,76,21,2,2
2022-07-03,78,21,2,1
2022-07-10,71,20,2,1
2022-07-17,66,15,2,1
2022-07-24,66,20,2,1
2022-07-31,73,19,2,2
2022-08-07,63,18,2,1
2022-08-14,65,17,2,1
2022-08-21,65,18,2,2
2022-08-28,70,20,2,2
2022-09-04,67,19,2,1
2022-09-11,72,17,2,1
2022-09-18,67,20,2,1
2022-09-25,76,20,2,1
2022-10-02,75,19,2,2
2022-10-09,67,19,2,2
2022-10-16,68,17,2,1
2022-10-23,67,19,2,1
2022-10-30,71,16,2,1
2022-11-06,64,17,2,1
2022-11-13,69,18,3,1
2022-11-20,63,18,2,1
2022-11-27,65,18,3,1
2022-12-04,67,18,2,1
2022-12-11,57,19,2,1
2022-12-18,60,20,3,1
2022-12-25,59,19,3,1
2023-01-01,69,21,3,2
2023-01-08,71,18,3,1
2023-01-15,61,19,2,2
2023-01-22,64,18,2,1
2023-01-29,75,21,2,2
2023-02-05,64,19,2,1
2023-02-12,59,18,2,1
2023-02-19,63,18,3,2
2023-02-26,67,20,2,2
2023-03-05,68,19,2,2
2023-03-12,70,18,2,1
2023-03-19,74,19,2,1
2023-03-26,65,20,3,1
2023-04-02,67,19,2,2
2023-04-09,63,18,2,2
2023-04-16,58,17,2,1
2023-04-23,65,18,2,1
2023-04-30,56,18,2,2
2023-05-07,64,18,2,1
2023-05-14,54,15,2,1
2023-05-21,63,19,2,1
2023-05-28,62,17,2,1
2023-06-04,65,18,2,1
2023-06-11,55,16,2,1
2023-06-18,62,18,3,1
2023-06-25,65,19,2,1
2023-07-02,74,19,3,1
2023-07-09,67,20,3,2
2023-07-16,60,16,2,1
2023-07-23,59,17,2,1
2023-07-30,67,19,2,2
2023-08-06,63,16,2,1
2023-08-13,55,15,2,1
2023-08-20,71,23,5,1
2023-08-27,80,25,4,2
2023-09-03,64,19,3,1
2023-09-10,58,17,2,1
2023-09-17,61,17,2,1
2023-09-24,67,18,2,2
2023-10-01,67,18,3,1
2023-10-08,63,17,2,1
2023-10-15,62,17,2,1
2023-10-22,60,16,2,2
2023-10-29,63,16,2,1
2023-11-05,66,17,2,1
2023-11-12,61,16,2,2
2023-11-19,60,17,2,1
2023-11-26,61,16,2,2
2023-12-03,63,17,2,1
2023-12-10,59,20,2,1
2023-12-17,62,21,2,1
2023-12-24,61,19,2,1
2023-12-31,58,20,2,2
2024-01-07,62,20,2,2
2024-01-14,65,19,2,1
2024-01-21,61,19,2,1
2024-01-28,66,19,2,2
2024-02-04,62,19,2,1
2024-02-11,60,20,2,1
2024-02-18,60,20,4,2
2024-02-25,64,19,3,1
2024-03-03,62,20,2,1
2024-03-10,61,19,2,1
2024-03-17,57,20,2,1
2024-03-24,100,22,2,1
2024-03-31,69,20,2,2
2024-04-07,63,21,2,2
2024-04-14,62,18,2,1
2024-04-21,58,18,2,1
2024-04-28,59,18,2,1
2024-05-05,55,17,2,1
2024-05-12,68,19,2,1
2024-05-19,59,20,2,1
2024-05-26,61,23,2,1
2024-06-02,63,25,3,2
2024-06-09,56,58,4,2
2024-06-16,59,43,2,2
2024-06-23,59,39,1,1
2024-06-30,63,39,1,1
2024-07-07,68,37,2,1
2024-07-14,60,36,1,1
2024-07-21,60,33,1,1
2024-07-28,62,31,1,1
2024-08-04,59,31,1,1
2024-08-11,53,27,1,0
2024-08-18,59,34,1,0
2024-08-25,85,34,1,1
2024-09-01,85,44,1,0
2024-09-08,74,38,1,0
2024-09-15,64,31,1,0
2024-09-22,65,31,1,1
2024-09-29,64,34,1,1
2024-10-06,63,32,0,0
2024-10-13,63,30,1,0
2024-10-20,60,30,1,1
2024-10-27,58,29,0,0
2024-11-03,63,30,1,1
2024-11-10,67,28,1,0
2024-11-17,60,31,1,0
2024-11-24,59,31,1,0
2024-12-01,58,29,1,0
2024-12-08,60,31,0,0
2024-12-15,61,36,0,0
2024-12-22,51,30,1,0
2024-12-29,60,34,1,0
2025-01-05,61,33,1,1
2025-01-12,58,33,0,1
2025-01-19,57,33,1,0
2025-01-26,55,32,0,1
2025-02-02,58,33,0,1
2025-02-09,55,30,1,0
2025-02-16,55,31,1,0
2025-02-23,56,31,1,0
