Time,ING,/m/07sc3dj,bpost bank,bpost banque
2021-09-12,73,61,2,3
2021-09-19,76,59,2,3
2021-09-26,88,59,3,3
2021-10-03,85,60,2,3
2021-10-10,81,58,2,3
2021-10-17,73,53,2,3
2021-10-24,81,58,2,3
2021-10-31,75,58,2,3
2021-11-07,71,56,2,3
2021-11-14,75,52,2,3
2021-11-21,70,54,2,4
2021-11-28,77,57,2,3
2021-12-05,75,69,2,3
2021-12-12,75,83,2,3
2021-12-19,76,66,2,2
2021-12-26,73,76,2,4
2022-01-02,81,81,2,3
2022-01-09,72,77,2,3
2022-01-16,67,71,2,3
2022-01-23,71,66,2,3
2022-01-30,81,79,2,3
2022-02-06,80,67,2,3
2022-02-13,71,60,2,2
2022-02-20,74,62,2,3
2022-02-27,87,72,3,3
2022-03-06,80,71,2,3
2022-03-13,75,67,2,3
2022-03-20,70,70,2,3
2022-03-27,76,72,2,3
2022-04-03,75,74,2,3
2022-04-10,63,61,2,2
2022-04-17,64,62,2,3
2022-04-24,75,84,2,3
2022-05-01,84,72,2,3
2022-05-08,75,67,2,3
2022-05-15,64,61,2,3
2022-05-22,59,61,2,3
2022-05-29,77,69,2,3
2022-06-05,66,69,2,2
2022-06-12,69,70,2,3
2022-06-19,72,72,3,3
2022-06-26,76,78,2,3
2022-07-03,78,79,2,4
2022-07-10,71,70,2,4
2022-07-17,66,62,2,3
2022-07-24,66,67,2,3
2022-07-31,73,79,2,3
2022-08-07,63,76,2,2
2022-08-14,65,66,2,3
2022-08-21,65,71,2,3
2022-08-28,70,74,2,3
2022-09-04,67,73,2,3
2022-09-11,72,72,2,3
2022-09-18,67,75,2,3
2022-09-25,76,73,2,4
2022-10-02,75,64,2,4
2022-10-09,67,54,2,3
2022-10-16,68,55,2,3
2022-10-23,67,62,2,4
2022-10-30,71,55,2,3
2022-11-06,64,53,2,3
2022-11-13,69,61,2,3
2022-11-20,63,50,2,4
2022-11-27,65,53,3,4
2022-12-04,67,59,2,3
2022-12-11,57,59,2,3
2022-12-18,60,63,2,3
2022-12-25,59,55,2,3
2023-01-01,69,63,2,3
2023-01-08,71,56,2,3
2023-01-15,61,61,2,3
2023-01-22,64,55,2,4
2023-01-29,75,63,2,4
2023-02-05,64,61,2,3
2023-02-12,59,53,2,3
2023-02-19,63,51,2,3
2023-02-26,67,57,2,4
2023-03-05,68,49,2,3
2023-03-12,70,46,2,3
2023-03-19,74,51,2,3
2023-03-26,65,47,2,3
2023-04-02,67,51,2,3
2023-04-09,63,45,2,3
2023-04-16,58,47,3,4
2023-04-23,65,52,2,3
2023-04-30,56,50,3,4
2023-05-07,64,46,2,3
2023-05-14,54,45,2,3
2023-05-21,63,51,2,4
2023-05-28,62,46,2,3
2023-06-04,65,43,2,3
2023-06-11,55,46,2,3
2023-06-18,62,42,2,3
2023-06-25,65,49,2,3
2023-07-02,74,53,3,3
2023-07-09,67,56,2,3
2023-07-16,60,45,2,3
2023-07-23,59,49,2,3
2023-07-30,67,47,3,3
2023-08-06,63,46,2,3
2023-08-13,55,42,2,3
2023-08-20,71,57,3,4
2023-08-27,80,65,2,4
2023-09-03,64,48,2,4
2023-09-10,58,45,2,4
2023-09-17,61,44,2,3
2023-09-24,67,49,2,4
2023-10-01,67,51,2,4
2023-10-08,63,49,2,3
2023-10-15,62,49,2,3
2023-10-22,60,50,2,3
2023-10-29,63,49,2,3
2023-11-05,66,48,2,3
2023-11-12,61,44,2,3
2023-11-19,60,45,2,3
2023-11-26,61,49,2,3
2023-12-03,63,46,2,3
2023-12-10,59,48,2,3
2023-12-17,62,49,2,3
2023-12-24,61,46,3,4
2023-12-31,58,51,2,4
2024-01-07,62,48,3,4
2024-01-14,65,53,3,4
2024-01-21,61,93,4,7
2024-01-28,66,59,2,3
2024-02-04,62,56,1,2
2024-02-11,60,54,1,2
2024-02-18,60,56,1,2
2024-02-25,64,65,1,1
2024-03-03,62,57,1,1
2024-03-10,61,51,1,1
2024-03-17,57,53,1,1
2024-03-24,100,53,1,1
2024-03-31,69,54,1,1
2024-04-07,63,53,1,1
2024-04-14,62,50,1,1
2024-04-21,58,51,1,1
2024-04-28,59,49,0,1
2024-05-05,55,44,1,1
2024-05-12,68,54,1,1
2024-05-19,59,47,0,1
2024-05-26,61,49,0,0
2024-06-02,63,47,1,1
2024-06-09,56,44,0,1
2024-06-16,59,44,0,0
2024-06-23,59,51,0,1
2024-06-30,63,53,1,1
2024-07-07,68,50,0,1
2024-07-14,60,52,0,1
2024-07-21,60,57,1,0
2024-07-28,62,49,0,0
2024-08-04,59,52,1,1
2024-08-11,53,45,0,0
2024-08-18,59,51,0,0
2024-08-25,85,52,0,0
2024-09-01,85,63,0,1
2024-09-08,74,54,0,0
2024-09-15,64,51,0,0
2024-09-22,65,51,0,0
2024-09-29,64,50,0,0
2024-10-06,63,54,0,0
2024-10-13,63,48,0,0
2024-10-20,60,48,0,0
2024-10-27,58,48,0,0
2024-11-03,63,52,0,0
2024-11-10,67,47,0,0
2024-11-17,60,50,0,1
2024-11-24,59,50,0,0
2024-12-01,58,46,0,0
2024-12-08,60,46,0,0
2024-12-15,61,51,0,0
2024-12-22,51,48,0,0
2024-12-29,60,51,0,0
2025-01-05,61,50,0,0
2025-01-12,58,54,0,0
2025-01-19,57,50,0,1
2025-01-26,55,50,0,0
2025-02-02,58,53,0,0
2025-02-09,55,54,0,0
2025-02-16,55,49,1,0
2025-02-23,56,53,1,0
2025-03-02,60,52,0,1
2025-03-09,55,49,0,0
2025-03-16,58,43,0,0
2025-03-23,55,46,0,0
2025-03-30,63,50,0,0
2025-04-06,63,50,0,0
2025-04-13,61,45,0,0
2025-04-20,57,45,0,0
2025-04-27,52,44,0,0
2025-05-04,55,48,0,0
2025-05-11,55,46,0,0
2025-05-18,61,49,0,0
2025-05-25,53,43,0,0
2025-06-01,61,53,0,0
2025-06-08,51,48,0,0
2025-06-15,53,46,0,0
2025-06-22,60,53,0,0
2025-06-29,57,52,0,0
2025-07-06,56,51,0,1
2025-07-13,56,46,0,0
2025-07-20,52,46,0,0
2025-07-27,53,50,0,0
2025-08-03,52,49,0,0
2025-08-10,49,44,0,0
2025-08-17,53,47,0,0
2025-08-24,55,49,0,0
2025-08-31,57,56,0,0
2025-09-07,57,51,0,0
2025-09-14,57,47,0,0
2025-09-21,57,48,0,0
2025-09-28,61,49,0,0
2025-10-05,55,47,0,0
2025-10-12,53,46,0,0
2025-10-19,56,46,0,0
2025-10-26,57,46,0,0
2025-11-02,61,49,0,0
2025-11-09,52,40,0,0
2025-11-16,55,43,0,0
2025-11-23,53,44,0,0
2025-11-30,58,49,0,0
2025-12-07,53,49,0,0
2025-12-14,58,51,0,0
2025-12-21,49,40,0,0
2025-12-28,50,45,0,0
2026-01-04,56,55,0,0
2026-01-11,53,45,0,0
2026-01-18,53,46,0,0
2026-01-25,54,45,0,0
2026-02-01,57,54,0,0
2026-02-08,51,42,0,0
2026-02-15,49,39,0,0
2026-02-22,55,48,0,0
2026-03-01,52,47,0,0
2026-03-08,56,42,0,0
2026-03-15,52,40,0,0
2026-03-22,51,42,0,0
2026-03-29,54,45,0,0
2026-04-05,50,36,0,0
2026-04-12,49,37,0,0
2026-04-19,48,38,0,0
2026-04-26,49,36,0,0
2026-05-03,56,48,0,0
2026-05-10,51,36,0,0
2026-05-17,59,40,0,0
2026-05-24,47,39,0,0
2026-05-31,52,42,0,0
2026-06-07,47,36,0,0
2026-06-14,44,36,0,0
2026-06-21,45,39,0,0
2026-06-28,52,39,0,0
2026-07-05,45,38,0,0
2026-07-12,45,38,0,0
2026-07-19,40,34,0,0
2026-07-26,44,35,0,0
2026-08-02,46,34,0,0
2026-08-09,41,32,0,0
2026-08-16,42,34,0,0
2026-08-23,54,36,0,0
2026-08-30,51,42,0,0
2026-09-06,44,35,0,0
2026-09-13,41,31,0,0
