Time,KBC,ING,/g/1z3t2x3c8
2021-09-12,64,65,7
2021-09-19,69,68,6
2021-09-26,72,77,6
2021-10-03,75,73,6
2021-10-10,75,70,6
2021-10-17,72,72,8
2021-10-24,68,70,7
2021-10-31,65,64,8
2021-11-07,63,61,7
2021-11-14,69,67,7
2021-11-21,63,59,7
2021-11-28,67,64,8
2021-12-05,76,67,7
2021-12-12,76,66,8
2021-12-19,69,62,8
2021-12-26,64,62,8
2022-01-02,77,71,8
2022-01-09,74,62,9
2022-01-16,73,59,9
2022-01-23,67,58,8
2022-01-30,82,78,9
2022-02-06,75,65,8
2022-02-13,70,63,7
2022-02-20,79,65,8
2022-02-27,83,75,8
2022-03-06,83,71,8
2022-03-13,75,67,7
2022-03-20,74,64,8
2022-03-27,76,69,8
2022-04-03,74,66,8
2022-04-10,68,58,7
2022-04-17,67,55,7
2022-04-24,70,65,7
2022-05-01,71,69,8
2022-05-08,75,66,7
2022-05-15,69,58,7
2022-05-22,64,47,7
2022-05-29,75,66,7
2022-06-05,70,58,7
2022-06-12,75,60,8
2022-06-19,70,64,7
2022-06-26,82,66,8
2022-07-03,81,69,8
2022-07-10,75,65,8
2022-07-17,62,55,7
2022-07-24,66,57,7
2022-07-31,71,62,8
2022-08-07,64,55,7
2022-08-14,62,54,4
2022-08-21,70,59,5
2022-08-28,72,56,7
2022-09-04,73,59,6
2022-09-11,79,62,6
2022-09-18,68,59,6
2022-09-25,71,68,6
2022-10-02,75,62,6
2022-10-09,68,58,6
2022-10-16,69,58,6
2022-10-23,76,58,6
2022-10-30,60,62,5
2022-11-06,65,55,5
2022-11-13,74,60,5
2022-11-20,62,55,5
2022-11-27,69,58,5
2022-12-04,69,58,5
2022-12-11,70,55,6
2022-12-18,73,55,6
2022-12-25,66,52,6
2023-01-01,79,60,6
2023-01-08,77,57,6
2023-01-15,73,51,6
2023-01-22,74,57,6
2023-01-29,75,67,6
2023-02-05,76,57,6
2023-02-12,71,55,6
2023-02-19,68,54,7
2023-02-26,71,58,6
2023-03-05,73,51,6
2023-03-12,79,62,6
2023-03-19,81,63,6
2023-03-26,71,56,6
2023-04-02,69,59,6
2023-04-09,62,53,5
2023-04-16,66,51,6
2023-04-23,67,55,6
2023-04-30,59,50,5
2023-05-07,63,54,5
2023-05-14,60,47,4
2023-05-21,74,55,6
2023-05-28,63,53,5
2023-06-04,63,55,5
2023-06-11,64,54,5
2023-06-18,65,52,6
2023-06-25,70,58,6
2023-07-02,79,63,6
2023-07-09,72,57,6
2023-07-16,57,53,5
2023-07-23,63,52,5
2023-07-30,65,61,5
2023-08-06,65,59,6
2023-08-13,58,47,5
2023-08-20,83,60,7
2023-08-27,90,71,7
2023-09-03,70,56,6
2023-09-10,60,53,6
2023-09-17,63,53,6
2023-09-24,64,60,6
2023-10-01,68,61,7
2023-10-08,61,54,6
2023-10-15,65,60,6
2023-10-22,66,52,5
2023-10-29,58,52,5
2023-11-05,63,54,6
2023-11-12,59,55,5
2023-11-19,67,54,6
2023-11-26,64,58,5
2023-12-03,67,54,5
2023-12-10,75,53,6
2023-12-17,72,55,6
2023-12-24,59,55,6
2023-12-31,68,52,5
2024-01-07,75,56,6
2024-01-14,71,51,6
2024-01-21,65,56,6
2024-01-28,70,61,6
2024-02-04,63,48,6
2024-02-11,62,51,6
2024-02-18,62,51,6
2024-02-25,69,57,6
2024-03-03,62,52,6
2024-03-10,57,52,6
2024-03-17,60,51,5
2024-03-24,66,90,6
2024-03-31,61,56,6
2024-04-07,59,54,6
2024-04-14,60,52,6
2024-04-21,59,49,6
2024-04-28,57,45,5
2024-05-05,53,47,5
2024-05-12,69,51,6
2024-05-19,52,50,5
2024-05-26,59,54,6
2024-06-02,59,57,5
2024-06-09,56,48,5
2024-06-16,50,51,5
2024-06-23,56,50,6
2024-06-30,61,57,6
2024-07-07,62,54,6
2024-07-14,57,49,6
2024-07-21,58,51,6
2024-07-28,54,50,6
2024-08-04,59,51,5
2024-08-11,53,45,4
2024-08-18,62,50,6
2024-08-25,64,73,6
2024-09-01,100,82,9
2024-09-08,76,63,7
2024-09-15,66,53,7
2024-09-22,67,55,5
2024-09-29,71,56,6
2024-10-06,57,52,6
2024-10-13,59,52,6
2024-10-20,60,56,5
2024-10-27,57,50,6
2024-11-03,59,54,6
2024-11-10,55,54,5
2024-11-17,56,51,5
2024-11-24,62,54,5
2024-12-01,60,54,6
2024-12-08,56,52,6
2024-12-15,64,54,6
2024-12-22,56,44,5
2024-12-29,62,48,6
2025-01-05,66,52,6
2025-01-12,54,53,5
2025-01-19,61,50,6
2025-01-26,62,52,6
2025-02-02,58,50,7
2025-02-09,58,51,6
2025-02-16,61,48,6
2025-02-23,65,53,6
2025-03-02,62,52,6
2025-03-09,61,50,6
2025-03-16,56,48,6
2025-03-23,52,48,6
2025-03-30,65,58,7
2025-04-06,68,52,6
2025-04-13,54,52,6
2025-04-20,58,50,6
2025-04-27,55,45,5
2025-05-04,59,45,5
2025-05-11,61,49,6
2025-05-18,61,52,6
2025-05-25,52,45,5
2025-06-01,57,48,6
2025-06-08,50,41,5
2025-06-15,58,45,6
2025-06-22,61,51,6
2025-06-29,65,49,6
2025-07-06,60,54,6
2025-07-13,60,49,6
2025-07-20,55,47,5
2025-07-27,61,51,6
2025-08-03,58,45,6
2025-08-10,56,42,5
2025-08-17,62,48,6
2025-08-24,60,52,6
2025-08-31,59,49,6
2025-09-07,59,47,6
2025-09-14,59,50,6
2025-09-21,59,50,6
2025-09-28,65,55,7
2025-10-05,61,51,6
2025-10-12,56,45,6
2025-10-19,61,50,6
2025-10-26,61,50,6
2025-11-02,62,55,6
2025-11-09,57,47,6
2025-11-16,56,49,5
2025-11-23,53,48,6
2025-11-30,56,50,6
2025-12-07,57,48,6
2025-12-14,61,49,7
2025-12-21,51,47,5
2025-12-28,58,44,5
2026-01-04,64,49,6
2026-01-11,62,49,7
2026-01-18,59,48,7
2026-01-25,58,47,7
2026-02-01,58,52,6
2026-02-08,56,46,5
2026-02-15,52,43,6
2026-02-22,56,46,6
2026-03-01,56,45,6
2026-03-08,52,48,6
2026-03-15,54,49,6
2026-03-22,58,46,6
2026-03-29,59,45,6
2026-04-05,52,43,5
2026-04-12,50,41,6
2026-04-19,51,42,6
2026-04-26,51,42,5
2026-05-03,53,48,5
2026-05-10,49,46,5
2026-05-17,55,49,5
2026-05-24,50,43,4
2026-05-31,53,43,6
2026-06-07,52,40,7
2026-06-14,47,40,6
2026-06-21,49,38,6
2026-06-28,53,51,7
2026-07-05,49,40,7
2026-07-12,48,39,7
2026-07-19,47,35,6
2026-07-26,45,38,7
2026-08-02,50,41,7
2026-08-09,46,35,6
2026-08-16,46,37,6
2026-08-23,48,41,7
2026-08-30,57,46,7
2026-09-06,49,39,6
2026-09-13,42,35,6
