Time,ING,KBC,Revolut,/g/11c1p5t9vb,bunq
2021-09-12,63,64,1,1,0
2021-09-19,66,71,1,1,0
2021-09-26,76,75,1,1,0
2021-10-03,74,73,1,1,0
2021-10-10,70,82,1,1,0
2021-10-17,63,66,1,1,0
2021-10-24,70,67,2,1,0
2021-10-31,65,66,2,1,0
2021-11-07,62,61,1,1,0
2021-11-14,65,68,2,1,0
2021-11-21,61,66,2,1,0
2021-11-28,67,71,1,1,0
2021-12-05,65,73,1,1,0
2021-12-12,65,72,1,1,0
2021-12-19,66,70,1,1,0
2021-12-26,63,61,2,1,0
2022-01-02,71,81,2,1,0
2022-01-09,63,75,2,1,0
2022-01-16,58,66,2,1,0
2022-01-23,62,67,2,1,0
2022-01-30,70,77,2,1,0
2022-02-06,69,66,2,1,0
2022-02-13,62,70,2,1,0
2022-02-20,64,76,2,1,0
2022-02-27,76,76,2,1,1
2022-03-06,70,80,2,1,0
2022-03-13,65,73,2,1,0
2022-03-20,61,74,2,1,0
2022-03-27,66,80,2,1,0
2022-04-03,65,75,2,1,0
2022-04-10,55,65,2,1,0
2022-04-17,56,65,2,1,0
2022-04-24,65,69,3,5,0
2022-05-01,73,73,3,1,0
2022-05-08,66,75,2,1,0
2022-05-15,56,68,2,1,0
2022-05-22,51,64,2,0,0
2022-05-29,67,73,2,1,0
2022-06-05,57,72,2,1,0
2022-06-12,60,68,2,1,0
2022-06-19,63,76,3,1,0
2022-06-26,66,78,3,1,0
2022-07-03,68,83,2,1,0
2022-07-10,62,77,3,1,0
2022-07-17,57,60,2,0,0
2022-07-24,58,63,2,1,0
2022-07-31,63,72,2,1,0
2022-08-07,55,61,2,1,0
2022-08-14,56,62,3,1,0
2022-08-21,57,72,2,1,0
2022-08-28,61,69,2,1,0
2022-09-04,58,73,2,1,0
2022-09-11,62,73,2,1,0
2022-09-18,58,71,2,1,0
2022-09-25,66,74,3,1,0
2022-10-02,65,74,3,1,0
2022-10-09,58,73,2,1,0
2022-10-16,59,68,2,1,0
2022-10-23,58,69,3,1,0
2022-10-30,61,58,3,1,0
2022-11-06,55,62,2,1,0
2022-11-13,60,75,2,1,0
2022-11-20,55,62,2,1,0
2022-11-27,57,68,2,1,0
2022-12-04,58,69,2,0,0
2022-12-11,50,68,2,1,0
2022-12-18,52,74,2,1,0
2022-12-25,51,66,2,0,0
2023-01-01,60,79,2,1,0
2023-01-08,62,76,2,1,0
2023-01-15,53,71,3,1,0
2023-01-22,55,74,3,1,0
2023-01-29,65,75,3,1,0
2023-02-05,55,74,3,1,0
2023-02-12,51,72,2,1,0
2023-02-19,55,66,3,1,0
2023-02-26,58,74,3,1,0
2023-03-05,59,75,3,1,0
2023-03-12,61,75,3,1,0
2023-03-19,64,70,3,1,0
2023-03-26,57,73,3,1,0
2023-04-02,58,68,3,1,1
2023-04-09,55,63,3,1,0
2023-04-16,51,65,3,1,0
2023-04-23,57,64,3,1,0
2023-04-30,49,58,3,1,0
2023-05-07,55,65,3,1,0
2023-05-14,47,55,3,1,0
2023-05-21,54,72,3,0,0
2023-05-28,54,63,3,1,0
2023-06-04,57,63,3,0,0
2023-06-11,48,62,3,1,0
2023-06-18,54,61,3,0,0
2023-06-25,56,69,3,1,0
2023-07-02,64,72,4,1,0
2023-07-09,58,69,4,1,0
2023-07-16,52,58,3,1,0
2023-07-23,51,67,4,1,0
2023-07-30,58,64,4,1,0
2023-08-06,55,62,4,1,0
2023-08-13,48,56,4,1,0
2023-08-20,62,86,3,1,0
2023-08-27,69,94,4,1,0
2023-09-03,56,66,4,1,0
2023-09-10,51,60,4,1,0
2023-09-17,53,61,4,1,0
2023-09-24,59,63,4,0,0
2023-10-01,59,64,4,1,0
2023-10-08,55,62,4,0,0
2023-10-15,54,66,4,1,0
2023-10-22,52,65,4,0,0
2023-10-29,54,60,3,1,0
2023-11-05,58,63,3,0,0
2023-11-12,53,64,4,0,0
2023-11-19,52,68,4,0,0
2023-11-26,53,62,4,0,0
2023-12-03,55,68,4,1,0
2023-12-10,51,76,4,1,0
2023-12-17,54,68,4,1,0
2023-12-24,53,56,4,1,0
2023-12-31,50,68,4,1,0
2024-01-07,54,72,4,1,0
2024-01-14,57,67,4,1,0
2024-01-21,53,67,4,1,0
2024-01-28,57,66,4,1,0
2024-02-04,54,64,4,1,0
2024-02-11,53,62,5,1,0
2024-02-18,52,61,4,1,0
2024-02-25,56,70,5,1,0
2024-03-03,54,63,5,1,0
2024-03-10,53,60,5,1,0
2024-03-17,49,59,5,1,0
2024-03-24,87,67,6,1,0
2024-03-31,60,62,5,0,0
2024-04-07,55,56,5,1,0
2024-04-14,54,58,4,0,0
2024-04-21,50,59,5,1,0
2024-04-28,51,55,5,1,0
2024-05-05,48,53,5,1,0
2024-05-12,59,68,5,1,0
2024-05-19,51,56,4,1,0
2024-05-26,53,58,5,1,0
2024-06-02,55,56,5,1,0
2024-06-09,48,54,4,1,0
2024-06-16,51,54,5,1,0
2024-06-23,51,57,5,0,0
2024-06-30,55,61,6,1,0
2024-07-07,59,60,6,1,0
2024-07-14,52,56,5,1,0
2024-07-21,52,57,5,1,0
2024-07-28,53,61,5,1,0
2024-08-04,51,62,6,1,0
2024-08-11,46,50,6,1,0
2024-08-18,51,58,6,1,0
2024-08-25,74,69,6,1,0
2024-09-01,74,100,6,1,0
2024-09-08,64,77,5,1,0
2024-09-15,55,67,5,1,0
2024-09-22,56,63,5,1,0
2024-09-29,56,63,5,1,0
2024-10-06,54,58,5,1,0
2024-10-13,55,56,5,1,0
2024-10-20,52,56,5,1,0
2024-10-27,51,55,5,1,0
2024-11-03,55,68,6,1,0
2024-11-10,58,54,6,1,0
2024-11-17,52,55,6,1,0
2024-11-24,51,59,5,1,0
2024-12-01,51,57,6,1,0
2024-12-08,52,58,5,1,0
2024-12-15,53,63,5,1,1
2024-12-22,45,56,5,1,0
2024-12-29,52,62,7,1,0
2025-01-05,53,65,6,1,0
2025-01-12,50,62,7,1,0
2025-01-19,49,61,7,1,0
2025-01-26,48,59,6,1,0
2025-02-02,51,54,6,0,0
2025-02-09,47,60,6,1,0
2025-02-16,47,56,5,1,0
2025-02-23,48,62,5,1,0
2025-03-02,52,60,7,1,0
2025-03-09,47,61,6,1,0
2025-03-16,50,53,5,1,1
2025-03-23,48,57,5,1,0
2025-03-30,55,62,5,1,0
2025-04-06,55,64,7,1,0
2025-04-13,53,56,6,1,0
2025-04-20,49,56,5,1,0
2025-04-27,45,58,6,1,0
2025-05-04,48,60,7,1,0
2025-05-11,48,55,6,1,0
2025-05-18,53,61,6,1,0
2025-05-25,46,55,6,1,1
2025-06-01,53,56,6,1,0
2025-06-08,44,50,6,1,0
2025-06-15,46,58,6,1,0
2025-06-22,52,57,6,1,0
2025-06-29,50,63,7,1,0
2025-07-06,48,62,7,1,0
2025-07-13,48,58,7,1,0
2025-07-20,45,54,6,1,0
2025-07-27,46,59,8,1,0
2025-08-03,45,62,8,1,0
2025-08-10,43,60,7,1,0
2025-08-17,46,59,12,1,0
2025-08-24,48,60,9,0,0
2025-08-31,50,62,8,1,0
2025-09-07,50,59,8,1,0
2025-09-14,49,60,7,1,1
2025-09-21,50,60,7,0,0
2025-09-28,53,66,8,1,0
2025-10-05,48,64,8,1,0
2025-10-12,46,56,7,1,0
2025-10-19,49,59,7,1,0
2025-10-26,49,61,7,1,0
2025-11-02,53,57,9,1,0
2025-11-09,45,54,8,1,0
2025-11-16,48,59,7,1,0
2025-11-23,46,57,9,1,1
2025-11-30,51,60,9,1,0
2025-12-07,46,65,8,1,0
2025-12-14,50,60,9,1,0
2025-12-21,43,52,8,0,0
2025-12-28,43,58,9,1,0
2026-01-04,49,66,8,1,0
2026-01-11,46,62,9,1,0
2026-01-18,46,58,9,1,0
2026-01-25,47,59,8,0,0
2026-02-01,50,56,8,0,0
2026-02-08,44,54,8,1,0
2026-02-15,42,50,7,0,1
2026-02-22,48,55,8,0,0
2026-03-01,45,57,8,1,0
2026-03-08,48,57,8,0,0
2026-03-15,45,54,10,0,0
2026-03-22,45,56,9,1,0
2026-03-29,47,58,8,1,0
2026-04-05,43,56,9,1,0
2026-04-12,42,55,9,1,0
2026-04-19,42,54,9,1,0
2026-04-26,43,51,8,1,0
2026-05-03,49,51,9,0,0
2026-05-10,44,59,9,1,0
2026-05-17,52,54,9,1,0
2026-05-24,41,50,8,1,0
2026-05-31,45,54,9,0,0
2026-06-07,41,46,10,0,0
2026-06-14,39,48,8,0,0
2026-06-21,39,48,8,0,0
2026-06-28,45,53,8,0,0
2026-07-05,39,49,9,0,0
2026-07-12,39,50,8,1,0
2026-07-19,34,46,8,0,0
2026-07-26,38,46,8,0,1
2026-08-02,40,49,9,0,0
2026-08-09,35,51,9,0,0
2026-08-16,37,47,10,0,0
2026-08-23,47,48,8,1,0
2026-08-30,44,56,9,0,0
2026-09-06,38,46,9,0,0
2026-09-13,36,43,19,1,0
