Time,ING,KBC,/m/07sc3dj,/m/03lmky,Crelan
2021-09-12,63,64,53,27,17
2021-09-19,66,71,51,27,17
2021-09-26,76,75,51,29,19
2021-10-03,74,73,53,27,17
2021-10-10,70,82,51,26,17
2021-10-17,63,66,46,26,16
2021-10-24,70,67,50,26,17
2021-10-31,65,66,51,26,16
2021-11-07,62,61,49,25,16
2021-11-14,65,68,45,27,16
2021-11-21,61,66,47,27,19
2021-11-28,67,71,50,26,18
2021-12-05,65,73,60,27,18
2021-12-12,65,72,72,27,20
2021-12-19,66,70,57,27,18
2021-12-26,63,61,66,30,18
2022-01-02,71,81,70,32,22
2022-01-09,63,75,67,30,19
2022-01-16,58,66,61,26,16
2022-01-23,62,67,58,26,17
2022-01-30,70,77,69,37,18
2022-02-06,69,66,58,27,18
2022-02-13,62,70,52,28,16
2022-02-20,64,76,54,29,16
2022-02-27,76,76,63,26,18
2022-03-06,70,80,62,26,16
2022-03-13,65,73,58,27,16
2022-03-20,61,74,61,25,16
2022-03-27,66,80,63,27,17
2022-04-03,65,75,64,29,17
2022-04-10,55,65,53,24,15
2022-04-17,56,65,54,25,16
2022-04-24,65,69,73,26,16
2022-05-01,73,73,62,28,17
2022-05-08,66,75,58,27,16
2022-05-15,56,68,53,27,16
2022-05-22,51,64,53,24,14
2022-05-29,67,73,60,29,18
2022-06-05,57,72,60,25,15
2022-06-12,60,68,61,27,16
2022-06-19,63,76,62,29,17
2022-06-26,66,78,68,31,18
2022-07-03,68,83,69,31,18
2022-07-10,62,77,61,29,17
2022-07-17,57,60,53,25,13
2022-07-24,58,63,58,27,17
2022-07-31,63,72,69,26,17
2022-08-07,55,61,66,26,16
2022-08-14,56,62,58,26,15
2022-08-21,57,72,62,29,16
2022-08-28,61,69,64,29,17
2022-09-04,58,73,63,27,16
2022-09-11,62,73,62,28,15
2022-09-18,58,71,65,26,17
2022-09-25,66,74,63,28,17
2022-10-02,65,74,55,24,17
2022-10-09,58,73,47,25,16
2022-10-16,59,68,48,26,15
2022-10-23,58,69,54,28,17
2022-10-30,61,58,48,27,14
2022-11-06,55,62,46,24,15
2022-11-13,60,75,53,28,16
2022-11-20,55,62,44,26,15
2022-11-27,57,68,46,27,15
2022-12-04,58,69,51,28,16
2022-12-11,50,68,51,27,17
2022-12-18,52,74,55,29,17
2022-12-25,51,66,47,31,16
2023-01-01,60,79,54,34,18
2023-01-08,62,76,49,29,16
2023-01-15,53,71,53,28,17
2023-01-22,55,74,48,28,16
2023-01-29,65,75,55,31,18
2023-02-05,55,74,53,28,17
2023-02-12,51,72,46,26,15
2023-02-19,55,66,44,27,16
2023-02-26,58,74,49,28,17
2023-03-05,59,75,43,26,17
2023-03-12,61,75,40,27,15
2023-03-19,64,70,44,28,17
2023-03-26,57,73,41,28,17
2023-04-02,58,68,44,28,16
2023-04-09,55,63,39,27,15
2023-04-16,51,65,41,26,15
2023-04-23,57,64,45,26,15
2023-04-30,49,58,44,26,15
2023-05-07,55,65,40,26,15
2023-05-14,47,55,39,23,13
2023-05-21,54,72,44,30,17
2023-05-28,54,63,40,25,15
2023-06-04,57,63,37,26,15
2023-06-11,48,62,40,27,14
2023-06-18,54,61,37,26,16
2023-06-25,56,69,42,29,17
2023-07-02,64,72,46,31,17
2023-07-09,58,69,49,30,17
2023-07-16,52,58,39,25,14
2023-07-23,51,67,43,28,15
2023-07-30,58,64,41,29,16
2023-08-06,55,62,40,30,14
2023-08-13,48,56,37,26,13
2023-08-20,62,86,49,62,20
2023-08-27,69,94,56,52,22
2023-09-03,56,66,42,30,16
2023-09-10,51,60,39,26,15
2023-09-17,53,61,38,26,15
2023-09-24,59,63,43,28,16
2023-10-01,59,64,45,28,15
2023-10-08,55,62,43,27,15
2023-10-15,54,66,43,25,15
2023-10-22,52,65,43,27,14
2023-10-29,54,60,43,25,14
2023-11-05,58,63,41,28,14
2023-11-12,53,64,38,27,14
2023-11-19,52,68,39,25,14
2023-11-26,53,62,42,28,14
2023-12-03,55,68,40,28,15
2023-12-10,51,76,42,29,17
2023-12-17,54,68,42,31,18
2023-12-24,53,56,40,31,16
2023-12-31,50,68,44,32,17
2024-01-07,54,72,41,30,17
2024-01-14,57,67,46,29,17
2024-01-21,53,67,81,30,16
2024-01-28,57,66,51,30,17
2024-02-04,54,64,49,30,17
2024-02-11,53,62,47,29,17
2024-02-18,52,61,48,30,18
2024-02-25,56,70,56,31,16
2024-03-03,54,63,49,29,18
2024-03-10,53,60,44,27,16
2024-03-17,49,59,46,27,17
2024-03-24,87,67,46,30,19
2024-03-31,60,62,47,29,17
2024-04-07,55,56,46,27,18
2024-04-14,54,58,43,27,16
2024-04-21,50,59,45,25,16
2024-04-28,51,55,42,27,15
2024-05-05,48,53,39,25,15
2024-05-12,59,68,47,30,17
2024-05-19,51,56,41,27,17
2024-05-26,53,58,42,28,20
2024-06-02,55,56,40,26,21
2024-06-09,48,54,38,25,50
2024-06-16,51,54,38,24,38
2024-06-23,51,57,44,26,34
2024-06-30,55,61,46,28,34
2024-07-07,59,60,43,29,32
2024-07-14,52,56,45,27,32
2024-07-21,52,57,50,27,29
2024-07-28,53,61,43,28,27
2024-08-04,51,62,45,30,27
2024-08-11,46,50,39,27,24
2024-08-18,51,58,45,30,29
2024-08-25,74,69,46,35,29
2024-09-01,74,100,55,45,38
2024-09-08,64,77,47,35,33
2024-09-15,55,67,44,27,27
2024-09-22,56,63,45,27,27
2024-09-29,56,63,43,27,30
2024-10-06,54,58,47,25,28
2024-10-13,55,56,41,26,26
2024-10-20,52,56,42,25,26
2024-10-27,51,55,41,24,25
2024-11-03,55,68,45,26,26
2024-11-10,58,54,41,24,24
2024-11-17,52,55,44,24,27
2024-11-24,51,59,44,25,27
2024-12-01,51,57,40,27,25
2024-12-08,52,58,40,29,27
2024-12-15,53,63,44,30,32
2024-12-22,45,56,41,26,26
2024-12-29,52,62,44,33,30
2025-01-05,53,65,43,30,29
2025-01-12,50,62,47,27,29
2025-01-19,49,61,44,28,29
2025-01-26,48,59,43,28,28
2025-02-02,51,54,46,29,29
2025-02-09,47,60,47,26,26
2025-02-16,47,56,43,26,27
2025-02-23,48,62,46,28,27
2025-03-02,52,60,45,30,27
2025-03-09,47,61,43,28,29
2025-03-16,50,53,37,26,25
2025-03-23,48,57,40,28,31
2025-03-30,55,62,44,29,33
2025-04-06,55,64,43,29,29
2025-04-13,53,56,39,26,27
2025-04-20,49,56,39,26,25
2025-04-27,45,58,38,25,25
2025-05-04,48,60,42,26,28
2025-05-11,48,55,40,26,27
2025-05-18,53,61,42,26,27
2025-05-25,46,55,38,23,24
2025-06-01,53,56,46,28,29
2025-06-08,44,50,42,23,24
2025-06-15,46,58,40,25,26
2025-06-22,52,57,46,28,31
2025-06-29,50,63,45,28,32
2025-07-06,48,62,44,28,32
2025-07-13,48,58,40,28,28
2025-07-20,45,54,40,25,24
2025-07-27,46,59,43,25,26
2025-08-03,45,62,42,25,26
2025-08-10,43,60,38,24,23
2025-08-17,46,59,41,27,25
2025-08-24,48,60,43,27,28
2025-08-31,50,62,48,27,28
2025-09-07,50,59,44,28,28
2025-09-14,49,60,40,25,26
2025-09-21,50,60,42,25,27
2025-09-28,53,66,43,29,27
2025-10-05,48,64,41,29,29
2025-10-12,46,56,40,28,26
2025-10-19,49,59,40,27,25
2025-10-26,49,61,40,27,24
2025-11-02,53,57,43,25,26
2025-11-09,45,54,35,23,23
2025-11-16,48,59,38,23,23
2025-11-23,46,57,38,24,24
2025-11-30,51,60,43,27,26
2025-12-07,46,65,43,26,24
2025-12-14,50,60,44,27,28
2025-12-21,43,52,35,24,22
2025-12-28,43,58,39,30,26
2026-01-04,49,66,47,28,26
2026-01-11,46,62,39,28,27
2026-01-18,46,58,40,27,26
2026-01-25,47,59,39,28,26
2026-02-01,50,56,47,29,25
2026-02-08,44,54,37,26,23
2026-02-15,42,50,34,24,22
2026-02-22,48,55,42,26,24
2026-03-01,45,57,41,28,25
2026-03-08,48,57,37,28,26
2026-03-15,45,54,34,24,24
2026-03-22,45,56,36,27,26
2026-03-29,47,58,39,27,26
2026-04-05,43,56,31,24,23
2026-04-12,42,55,32,25,23
2026-04-19,42,54,33,23,23
2026-04-26,43,51,31,23,22
2026-05-03,49,51,42,25,26
2026-05-10,44,59,31,22,24
2026-05-17,52,54,35,24,26
2026-05-24,41,50,34,22,21
2026-05-31,45,54,36,29,25
2026-06-07,41,46,32,28,22
2026-06-14,39,48,31,24,24
2026-06-21,39,48,34,26,21
2026-06-28,45,53,34,25,25
2026-07-05,39,49,33,25,22
2026-07-12,39,50,33,23,22
2026-07-19,34,46,30,20,22
2026-07-26,38,46,30,22,22
2026-08-02,40,49,30,23,20
2026-08-09,35,51,27,20,19
2026-08-16,37,47,30,21,20
2026-08-23,47,48,31,24,23
2026-08-30,44,56,36,25,25
2026-09-06,38,46,30,23,21
2026-09-13,36,43,27,18,18
